order_id,order_date,origin_port,carrier,tpt,service_level,ship_ahead_day_count,ship_late_day_count,customer,product_id,plant_code,destination_port,unit_quantity,weight,wh,cost_unit,plant_id,daily_capacity,port,orig_port_cd,dest_port_cd,minm_wgh_qty,max_wgh_qty,svc_cd,minimum_cost,rate,mode_dsc,tpt_day_cnt,carrier_type,freight_cost,delay_days,is_delayed,shipped_early,transit_days,delay_cost
1447329988.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692723,PLANT16,PORT09,320,12.237259419846632,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,150.25396606064487,0,False,True,0.0,0.0
1447326023.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692656,PLANT16,PORT09,371,17.18526015787838,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,211.00749832249386,0,False,True,0.0,0.0
1447170963.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692656,PLANT16,PORT09,281,4.8555780473635135,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,59.61872949674816,0,False,True,0.0,0.0
1447149896.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,357,4.791903967763159,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,58.836913677783166,0,False,True,0.0,0.0
1447235369.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,378,9.583807935526318,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,117.67382735556633,0,False,True,0.0,0.0
1447157035.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,377,4.791903967763159,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,58.836913677783166,0,False,True,0.0,0.0
1447296346.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,366,9.583807935526318,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,117.67382735556633,0,False,True,0.0,0.0
1447296344.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,281,1.9167615871052635,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,31.278399999999998,0,False,True,0.0,0.0
1447157048.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,286,4.791903967763159,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,58.836913677783166,0,False,True,0.0,0.0
1447157060.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,338,4.791903967763159,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,58.836913677783166,0,False,True,0.0,0.0
1447157034.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,334,4.791903967763159,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,58.836913677783166,0,False,True,0.0,0.0
1447157047.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,377,4.791903967763159,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,58.836913677783166,0,False,True,0.0,0.0
1447204449.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692708,PLANT16,PORT09,303,4.791903967763159,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,58.836913677783166,0,False,True,0.0,0.0
1447368715.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1692731,PLANT16,PORT09,333,1.49,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,31.278399999999998,0,False,True,0.0,0.0
1447358789.7,2013-05-26,PORT09,V444_0,0,DTP,3,0,V555555_6,1686435,PLANT16,PORT09,304,527.5344724360865,PLANT16,1.9198075078524335,PLANT16,457,PORT09,PORT09,PORT09,0.0,5000.0,DTP,31.278399999999998,12.2784,GROUND,0.0,V88888888_0,6477.2792663592445,0,False,True,0.0,0.0
